PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,3:00 PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,+/-
Theo Pinson,DAL,27,40,19,21,323,95,31,87,22,62,11,13,10,53,63,46,12,6,1,-50
Skylar Mays,POR,25,6,1,5,188.8,92,34,68,12,26,12,13,2,17,19,50,10,6,1,-74
Bryn Forbes,MIN,29,25,9,16,267.7,89,30,83,14,46,15,15,4,11,15,17,12,7,2,-48
Davon Reed,LAL,28,43,29,14,342.5,89,28,84,17,46,16,24,10,49,59,23,20,15,4,-99
Johnny Juzang,UTA,22,18,6,12,232.3,87,35,104,15,63,2,4,8,31,39,8,3,4,3,-87
David Duke Jr.,BKN,23,23,10,13,228,85,36,78,1,12,12,17,11,18,29,21,18,10,1,-35
Kennedy Chandler,MEM,20,36,22,14,281.5,78,35,83,2,15,6,13,9,29,38,58,18,12,5,-41
Peyton Watson,DEN,20,23,13,10,186.1,75,29,59,6,14,11,20,8,29,37,11,8,2,11,-47
Kemba Walker,DAL,33,9,5,4,143.9,72,24,57,7,28,17,21,3,13,16,19,4,2,2,-1
Danny Green,CLE,36,11,6,5,138.7,61,22,49,16,37,1,1,3,11,14,6,10,6,3,-17
Jeff Dowtin Jr.,TOR,26,25,17,8,258.7,61,25,57,5,16,6,9,6,17,23,31,5,9,3,-9
A.J. Lawson,DAL,22,15,5,10,108.3,56,22,44,10,25,2,8,6,15,21,2,3,2,0,-46
Quenton Jackson,WAS,24,9,3,6,134.6,56,19,42,1,12,17,22,2,6,8,15,4,4,1,-17
Jeenathan Williams,POR,24,5,1,4,126.6,53,24,39,3,8,2,3,10,5,15,10,4,3,2,-38
Trent Forrest,ATL,25,23,9,14,277,52,25,60,0,2,2,3,5,32,37,38,15,7,2,-58
Garrett Temple,NOP,37,25,16,9,161.8,50,18,45,11,26,3,4,5,12,17,13,4,9,2,-17
Lindell Wigginton,MIL,25,7,4,3,86.7,50,18,37,6,18,8,9,0,7,7,14,12,0,2,-39
Matthew Dellavedova,SAC,32,32,19,13,212.8,47,17,50,9,27,4,7,1,12,13,41,10,7,0,-51
KZ Okpala,SAC,24,35,19,16,248,46,16,38,7,21,7,8,7,27,34,13,7,7,7,-11
Jared Rhoden,DET,23,14,2,12,197.9,45,17,44,5,20,6,6,11,26,37,4,3,4,1,21
Dru Smith,BKN,25,15,7,8,158.4,44,18,45,5,19,3,3,2,22,24,22,3,10,4,-28
Jarrett Culver,ATL,24,10,5,5,136.9,44,17,43,1,12,9,13,10,28,38,6,7,6,2,-19
Shaquille Harrison,LAL,29,5,1,4,119.9,44,15,36,3,10,11,15,1,21,22,30,6,11,2,-1
Jaden Springer,PHI,20,16,13,3,89.3,42,17,35,2,5,6,8,6,8,14,8,3,7,3,-3
Wendell Moore Jr.,MIN,21,29,16,13,152.7,42,18,43,2,17,4,5,4,14,18,18,8,8,5,-53
Jason Preston,LAC,23,14,4,10,123.8,41,18,41,5,18,0,2,2,20,22,27,10,2,0,-11
Jared Butler,OKC,22,6,3,3,76.5,37,15,32,7,14,0,0,1,3,4,8,5,5,0,-1
Vit Krejci,ATL,23,29,15,14,165.4,36,15,37,5,21,1,2,6,20,26,17,5,5,1,-3
Vince Williams Jr.,MEM,22,15,7,8,104.6,30,12,40,4,28,2,2,4,11,15,4,5,6,2,-34
Jordan Hall,SAS,21,9,1,8,82.7,28,9,28,3,15,7,9,3,9,12,11,7,1,0,-24
Joshua Primo,SAS,20,4,3,1,93.4,28,9,26,3,12,7,9,2,11,13,18,11,1,2,-2
Ryan Arcidiacono,POR,29,20,9,11,172.4,26,9,37,8,23,0,0,0,15,15,23,7,5,0,-40
Mac McClung,PHI,24,2,2,0,41.1,25,9,20,4,11,3,5,3,7,10,9,3,0,0,18
Sam Merrill,CLE,27,5,4,1,58.5,25,9,22,5,18,2,2,0,9,9,5,0,4,0,-5
Gabe York,IND,29,3,1,2,55.8,24,8,21,6,18,2,2,0,6,6,5,0,2,0,24
Keon Ellis,SAC,23,16,7,9,70.9,24,7,16,6,12,4,7,4,4,8,6,1,5,1,-21
Ryan Rollins,GSW,20,12,5,7,62.1,23,7,20,3,9,6,6,3,9,12,6,16,1,1,-47
PJ Dozier,SAC,26,16,11,5,79.3,22,10,33,2,16,0,0,1,13,14,10,5,6,1,-23
Trevelin Queen,IND,26,7,2,5,70,21,7,29,2,15,5,5,8,9,17,6,7,2,5,14
Tyrese Martin,ATL,24,16,10,6,65.5,21,9,23,1,7,2,2,5,7,12,2,2,1,0,1
Carlik Jones,CHI,25,7,4,3,56,20,6,15,3,6,5,8,1,4,5,6,2,2,0,26
JD Davison,BOS,20,12,11,1,65.7,19,8,19,2,7,1,2,2,7,9,11,4,2,2,-6
Andre Iguodala,GSW,39,8,3,5,112.6,17,7,15,1,9,2,3,3,14,17,19,9,4,3,35
Michael Carter-Williams,ORL,31,4,1,3,44.5,17,6,14,1,3,4,7,1,4,5,7,4,1,1,-26
Jamaree Bouyea,WAS,24,5,2,3,70.5,15,6,14,2,6,1,2,1,5,6,4,4,4,2,-17
Scotty Pippen Jr.,LAL,22,6,1,5,31.5,14,4,12,1,3,5,9,2,2,4,2,2,2,1,-1
Jay Scrubb,ORL,22,2,1,1,30.1,13,5,7,2,2,1,2,0,6,6,1,3,2,0,-16
Justin Champagnie,BOS,22,5,4,1,34.3,11,5,15,1,5,0,0,3,5,8,4,0,1,0,-4
Facundo Campazzo,DAL,32,8,2,6,52.2,10,3,13,3,11,1,2,0,2,2,9,3,6,0,11
Lester Quinones,GSW,22,4,4,0,18.1,10,2,5,2,4,4,6,1,2,3,2,5,1,0,6
Joe Wieskamp,TOR,23,9,6,3,49.7,9,3,14,3,12,0,0,0,4,4,3,1,0,0,2
Kendall Brown,IND,20,6,1,5,40.3,9,4,7,0,1,1,2,2,4,6,3,2,4,0,4
Trevor Hudgins,HOU,24,5,0,5,28.3,9,2,9,2,8,3,3,0,0,0,3,1,0,0,3
Tyler Dorsey,DAL,27,3,2,1,8.3,9,4,5,1,2,0,0,1,1,2,0,0,0,0,2
Xavier Moon,LAC,28,4,2,2,19.6,7,3,9,1,3,0,0,0,3,3,5,1,0,0,3
Dylan Windler,CLE,26,3,3,0,10.4,5,2,3,1,2,0,0,0,0,0,1,1,1,0,-1
Kobi Simmons,CHA,25,5,1,4,27.8,5,1,6,1,5,2,2,1,3,4,5,1,0,2,-19
Dereon Seabron,NOP,23,5,2,3,11.6,4,2,5,0,0,0,0,1,0,1,0,0,0,0,10
Donovan Williams,ATL,21,2,1,1,4.3,4,2,5,0,2,0,0,0,2,2,0,0,0,0,6
Devon Dotson,WAS,23,6,1,5,53.1,3,1,10,1,4,0,0,6,4,10,8,3,5,0,-3
Jacob Gilyard,MEM,24,1,0,1,40.8,3,1,3,1,3,0,0,0,4,4,7,2,3,0,-13
Jordan Schakel,WAS,25,2,0,2,6.2,3,1,2,1,1,0,0,0,0,0,1,0,1,0,6
Trevor Keels,NYK,19,3,3,0,8,3,1,4,1,4,0,0,0,2,2,0,0,0,0,-18
Stanley Umude,DET,24,1,0,1,2.1,2,0,1,0,1,2,2,0,0,0,0,0,1,1,3
Alondes Williams,BKN,24,1,1,0,5.3,0,0,0,0,0,0,0,0,1,1,0,2,0,0,-5
Deonte Burton,SAC,29,2,1,1,6.5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5
Frank Jackson,UTA,25,1,0,1,5,0,0,3,0,1,0,0,1,1,2,1,0,0,0,-2
Sterling Brown,LAL,28,4,2,2,24.4,0,0,4,0,2,0,0,3,5,8,2,0,3,0,-4
